Date, Close/Last, Volume, Open, High, Low
11/11/2016, 1853, 80, 1866.25, 1879, 1850.75
11/10/2016, 1866.5, 60, 1863.25, 1872, 1863.25
11/09/2016, 1843.25, 15, 1830, 1846, 1830
11/08/2016, 1812.75, N/A, 1812.75, 1812.75, 1812.75
11/07/2016, 1807.75, 5, 1800, 1800, 1800
11/04/2016, 1796.25, 16, 1798.75, 1801.25, 1798.25
11/03/2016, 1813.5, 5, 1813.5, 1813.5, 1813.5
11/02/2016, 1777.25, 10, 1785, 1785, 1784
11/01/2016, 1791.25, 31, 1804, 1804, 1794
10/31/2016, 1806, 5, 1805.75, 1805.75, 1805.75
10/28/2016, 1793.75, 9, 1769.5, 1786, 1769
10/27/2016, 1773, 27, 1753, 1773, 1753
10/26/2016, 1747.25, 13, 1745.75, 1747, 1741
10/25/2016, 1730.5, 10, 1727.25, 1727.25, 1727.25
10/24/2016, 1699.25, 5, 1698.5, 1698.5, 1698.5
10/21/2016, 1699.25, 5, 1699.25, 1699.25, 1699.25
10/20/2016, 1683, 15, 1682.25, 1683.5, 1682.25
10/19/2016, 1706.5, 15, 1700.25, 1705.25, 1698.5
10/18/2016, 1713.75, 10, 1721.5, 1721.5, 1720.25
10/17/2016, 1725, N/A, 1725, 1725, 1725
10/14/2016, 1740, 5, 1754.75, 1754.75, 1754.75
10/13/2016, 1757.5, 23, 1756.75, 1769, 1753.75
10/12/2016, 1754.5, 20, 1763.25, 1763.25, 1752
10/11/2016, 1758.75, 35, 1750.75, 1760, 1750.75
10/10/2016, 1763.5, 30, 1759, 1763.5, 1759
10/07/2016, 1750.25, N/A, 1750.25, 1750.25, 1750.25
10/06/2016, 1747.5, 10, 1744, 1747.5, 1744
10/05/2016, 1746.75, 20, 1741.5, 1744.5, 1741.5
10/04/2016, 1735.5, 20, 1734.75, 1736.5, 1733.25
10/03/2016, 1733, 25, 1736.5, 1741.25, 1736.5
09/30/2016, 1739.25, 48, 1734.75, 1738.75, 1734.75
09/29/2016, 1729.25, 16, 1726.75, 1728.75, 1725.25
09/28/2016, 1718, 10, 1716.75, 1718.75, 1716.75
09/27/2016, 1705.25, 5, 1698.5, 1698.5, 1698.5
09/26/2016, 1708, 40, 1687.25, 1691, 1687.25
09/23/2016, 1688.25, 5, 1697.75, 1697.75, 1697.75
09/22/2016, 1687.75, N/A, 1687.75, 1687.75, 1687.75
09/21/2016, 1639.75, N/A, 1639.75, 1639.75, 1639.75
09/20/2016, 1632.5, 5, 1632.5, 1632.5, 1632.5
09/19/2016, 1637.75, N/A, 1637.75, 1637.75, 1637.75
09/16/2016, 1632.25, N/A, 1632.25, 1632.25, 1632.25
09/15/2016, 1622, 10, 1622, 1622, 1622
09/14/2016, 1641.75, 5, 1640.25, 1640.25, 1640.25
09/13/2016, 1612, N/A, 1612, 1612, 1612
09/12/2016, 1618.5, 5, 1618.5, 1618.5, 1618.5
09/09/2016, 1627, N/A, 1627, 1627, 1627
09/08/2016, 1638.25, N/A, 1638.25, 1638.25, 1638.25
09/07/2016, 1642.25, 5, 1642.25, 1642.25, 1642.25
09/06/2016, 1642.25, 10, 1639.25, 1639.25, 1639.25
09/02/2016, 1638.75, 45, 1656.5, 1656.5, 1644.25
09/01/2016, 1649.75, 20, 1655.75, 1665.5, 1655.75
