EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 21-01-2021
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

 01- 05 STAID  : Station identifier
 07- 46 STANAME: Station name
 48- 49 CN     : Country code (ISO3116 country codes)
 51- 59 LAT    : Latitude in degrees:minutes:seconds (+: North, -: South)
 61- 70 LON    : Longitude in degrees:minutes:seconds (+: East, -: West)
 72- 75 HGTH   : Station elevation in meters

STAID,STANAME                                 ,CN,      LAT,       LON,HGHT
19041,SKUDENES III                            ,NO,+59:08:47,+005:15:00,  10
19042,NORD-LENANGEN                           ,NO,+69:54:43,+020:09:18,  23
19043,SOLVAER - SLENESET                      ,NO,+66:21:59,+012:36:55,   6
19048,SLAGENTANGEN                            ,NO,+59:18:42,+010:30:45,  31
19050,JOMFRULAND FYR                          ,NO,+58:51:55,+009:35:51,  12
19055,HJELVIK I ROMSDAL                       ,NO,+62:36:58,+007:12:39,  21
19056,FORNEBU                                 ,NO,+59:53:34,+010:36:57,  10
19062,LAERDAL - TOENJUM                       ,NO,+61:03:42,+007:31:00,  36
19070,OEVRE SALTDAL                           ,NO,+66:58:30,+015:18:10,  26
19188,TURELVA                                 ,NO,+70:01:36,+023:24:30,   9
19078,EIDANGER                                ,NO,+59:07:29,+009:41:55,  39
19079,FAUSKE                                  ,NO,+67:15:00,+015:23:00,  14
19093,NORDRE EIGEROEY                         ,NO,+58:26:07,+005:54:09,  63
19094,JARLSBERG FLYPLASS                      ,NO,+59:18:05,+010:22:02,  25
19195,MANDAL - EIGEBREKK                      ,NO,+58:00:50,+007:36:31,  10
19104,SKIBOTN - MELA                          ,NO,+69:22:00,+020:17:00,   8
19105,TRONDHEIM                               ,NO,+63:25:55,+010:24:53,  58
19115,HELLISOEY FYR                           ,NO,+60:45:10,+004:42:38,  20
19201,OSLO - HAUSMANNSGT                      ,NO,+59:55:50,+010:45:16,  12
19122,EVENSKJER BAKKE                         ,NO,+68:34:58,+016:34:14,  10
20821,TOENSBERG - KARLSVIK                    ,NO,+59:17:39,+010:30:49,   3
20822,TOENSBERG - VALLOE                      ,NO,+59:15:39,+010:29:52,   9
20823,TOENSBERG - VEAR                        ,NO,+59:15:48,+010:21:37,  30
20824,TOENSBERG - EIK                         ,NO,+59:17:37,+010:25:39,  55
21769,FV17 SALTSTRAUMBRUA                     ,NO,+67:13:53,+014:36:45,  21
21770,TOENSBERG GJESTEHAVN                    ,NO,+59:16:12,+010:24:07,   3
