EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 21-01-2021
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

 01- 05 STAID  : Station identifier
 07- 12 SOUID  : Source identifier
 14- 53 SOUNAME: Source name
 55- 56 CN     : Country code (ISO3116 country codes)
 58- 66 LAT    : Latitude in degrees:minutes:seconds (+: North, -: South)
 68- 77 LON    : Longitude in degrees:minutes:seconds (+: East, -: West)
 79- 82 HGTH   : Station elevation in meters
 84- 87 ELEI   : Element identifier (see website at Daily Data > Data dictionary > Elements)
 89- 96 BEGIN  : Begin date YYYYMMDD
 98-105 END    : End date YYYYMMDD
107-111 PARID  : Participant identifier
113-163 PARNAME: Participant name

STAID, SOUID,SOUNAME                                 ,CN,      LAT,       LON,HGHT,ELEI,   BEGIN,     END,PARID,PARNAME
 4993,133016,LANDVIK                                 ,NO,+58:20:24,+008:31:21,   6,TG21,19570101,20201231,   22,Hans Olav Hygen                                   
 5001,133112,ALTA LUFTHAVN                           ,NO,+69:58:39,+023:21:30,   3,TG21,19631201,20201231,   22,Hans Olav Hygen                                   
 5001,200635,ALTA                                    ,NO,+69:58:00,+023:15:00,   4,TG21,19000101,19400910,   22,Hans Olav Hygen                                   
 5003,133136,HONNINGSVAG LUFTHAVN                    ,NO,+71:00:38,+025:58:42,  14,TG21,20030801,20201231,   22,Hans Olav Hygen                                   
 5003,200586,HELNES FYR                              ,NO,+71:03:41,+026:13:17,  33,TG21,19540101,20040916,   22,Hans Olav Hygen                                   
 5046,133652,SVINOY FYR                              ,NO,+62:19:46,+005:16:05,  38,TG21,19550613,20201231,   22,Hans Olav Hygen                                   
 5046,901205,SVINOY LH                               ,NO,+62:20:00,+005:16:00,  41, TG5,19820113,20200229,     ,                    
 5048,133676,KRISTIANSUND - KARIHOLA                 ,NO,+63:07:31,+007:42:15,  39,TG21,20170124,20201231,   22,Hans Olav Hygen                                   
 5048,133688,KRISTIANSUND LUFTHAVN                   ,NO,+63:06:34,+007:48:57,  62,TG21,20031017,20201231,   22,Hans Olav Hygen                                   
 5048,200876,KRISTIANSUND N                          ,NO,+63:06:37,+007:45:06,  48,TG21,19570101,19751230,   22,Hans Olav Hygen                                   
 5049,133688,KRISTIANSUND LUFTHAVN                   ,NO,+63:06:34,+007:48:57,  62,TG21,20031017,20201231,   22,Hans Olav Hygen                                   
 5049,200876,KRISTIANSUND N                          ,NO,+63:06:37,+007:45:06,  48,TG21,19570101,19751230,   22,Hans Olav Hygen                                   
 5054,133748,VIGRA                                   ,NO,+62:33:42,+006:06:54,  22,TG21,19580701,20201231,   22,Hans Olav Hygen                                   
 5054,199170,ALESUND IV                              ,NO,+62:28:13,+006:12:39,  15,TG21,20090625,20201231,   22,Hans Olav Hygen                                   
 5056,133772,BRONNOYSUND LUFTHAVN                    ,NO,+65:27:24,+012:13:06,   9,TG21,20020801,20201231,   22,Hans Olav Hygen                                   
 5056,200606,BROENNOEYSUND III                       ,NO,+65:28:36,+012:12:45,   5,TG21,19570101,19721230,   22,Hans Olav Hygen                                   
 5056,200887,BROENNOEYSUND                           ,NO,+65:28:00,+012:12:00,   4,TG21,19000101,19481230,   22,Hans Olav Hygen                                   
 5060,133820,EVENES LUFTHAVN                         ,NO,+68:29:28,+016:41:00,  26,TG21,20040101,20201231,   22,Hans Olav Hygen                                   
 5060,200831,EVENSKJER                               ,NO,+68:35:01,+016:34:09,   7,TG21,19581001,19851030,   22,Hans Olav Hygen                                   
 5060,201028,EVENSKJER BAKKE                         ,NO,+68:34:58,+016:34:14,  10,TG21,19570301,19580929,   22,Hans Olav Hygen                                   
 5070,133940,NARVIK LUFTHAVN                         ,NO,+68:26:23,+017:23:19,  31,TG21,20020801,20170404,   22,Hans Olav Hygen                                   
 5070,157134,NARVIK II                               ,NO,+68:28:08,+017:29:32,  32,TG21,19540101,19750831,   22,Hans Olav Hygen                                   
 5070,199398,NARVIK SENTRUM                          ,NO,+68:26:14,+017:25:16,  31,TG21,20181214,20201231,   22,Hans Olav Hygen                                   
 5070,199742,E6 SKJOMENBRUA                          ,NO,+68:22:16,+017:14:38,  30,TG21,20150521,20201231,   22,Hans Olav Hygen                                   
 5070,200805,NARVIK III                              ,NO,+68:28:11,+017:29:54,  17,TG21,19750901,20020530,   22,Hans Olav Hygen                                   
 5070,901194,NARVIK III                              ,NO,+68:28:00,+017:30:00,  17, TG5,19820113,20020531,     ,                    
 5071,104441,SKROVA FYR                              ,NO,+68:09:01,+014:39:03,  11,TG21,19540101,20201231,   22,Hans Olav Hygen                                   
 5071,133952,SVOLVAER LUFTHAVN                       ,NO,+68:14:43,+014:40:09,   9,TG21,20040101,20201231,   22,Hans Olav Hygen                                   
 5071,901160,SKROVA LH                               ,NO,+68:09:00,+014:39:00,  11, TG5,19820115,20200229,     ,                    
 5083,134096,SKLINNA FYR                             ,NO,+65:12:08,+010:59:47,  23,TG21,19741004,20201231,   22,Hans Olav Hygen                                   
 5106,109682,SOLA                                    ,NO,+58:53:03,+005:38:13,   7,TG21,19530101,20201231,   22,Hans Olav Hygen                                   
 5106,134372,SANDNES - ROVIK                         ,NO,+58:51:58,+005:45:44,  19,TG21,20170124,20201231,   22,Hans Olav Hygen                                   
